TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"4615189","YuGiOh","Structure Deck: Spirit Charmers","Raigeki","","SDCH-EN021","Super Rare","Moderately Played 1st Edition","2.03","","2.5600","1.2500","0","0","3.0100",""
"4615204","YuGiOh","Structure Deck: Spirit Charmers","Terraforming","","SDCH-EN024","Common","Moderately Played 1st Edition","0.15","","1.5100","0.2000","0","0","0.0900",""
"2947962","YuGiOh","Structure Deck: Synchron Extreme","Accel Synchron","","SDSE-EN042","Super Rare","Damaged 1st Edition","0.71","","2.0000","0.5000","0","0","0.3300",""
"549997","YuGiOh","Structure Deck: Warrior's Triumph","Wicked-Breaking Flamberge - Baou","","SD5-EN027","Common","Moderately Played 1st Edition","0.13","","1.4200","0.1100","0","0","0.1500",""
"542010","YuGiOh","Structure Deck: Warriors' Strike","Evocator Chevalier","","SDWS-EN002","Super Rare","Lightly Played 1st Edition","0.62","","1.5100","0.2000","0","0","0.6000",""
"550224","YuGiOh","Structure Deck: Warriors' Strike","Evocator Chevalier","","SDWS-EN002","Super Rare","Moderately Played 1st Edition","0.56","","1.7300","0.4200","1","0","0.4900",""
"542009","YuGiOh","Structure Deck: Warriors' Strike","Phoenix Gearfried","","SDWS-EN001","Ultra Rare","Lightly Played 1st Edition","0.52","","1.4600","0.1500","0","0","0.5000",""
"3241391","YuGiOh","Structure Deck: Yugi Muto","Alpha The Electromagnet Warrior","","SDMY-EN001","Super Rare","Near Mint 1st Edition","1.64","","1.8000","0.4900","0","0","3.2500",""
"3241596","YuGiOh","Structure Deck: Yugi Muto","Arcana Knight Joker","","SDMY-EN042","Common","Near Mint 1st Edition","0.48","","1.5200","0.2100","0","0","0.6800",""
"3241598","YuGiOh","Structure Deck: Yugi Muto","Arcana Knight Joker","","SDMY-EN042","Common","Moderately Played 1st Edition","0.38","","1.5800","0.2700","1","0","0.2600",""
"3241408","YuGiOh","Structure Deck: Yugi Muto","Berserkion the Electromagna Warrior","","SDMY-EN004","Ultra Rare","Moderately Played 1st Edition","16.63","","12.0000","12.0000","0","0","1.6900",""
"3241396","YuGiOh","Structure Deck: Yugi Muto","Beta The Electromagnet Warrior","","SDMY-EN002","Super Rare","Near Mint 1st Edition","8.32","","7.9900","7.9900","0","0","5.2100",""
